"decimalLongitude","decimalLatitude","N"
-96.492834,17.090096,12
-96.448338,16.016596,67
-116.616375,31.777596,125
-92.53896,16.67359,13
-103.583221,19.546552,12
-103.60478,19.53804,506
-92.639507,16.737446,69
-100.735973,20.913611,4
-96.493556,17.110767,61
-96.480432,17.111836,2
-99.193545,19.339283,2
-99.200063,19.10819,3
-99.187177,19.416007,1
-99.210234,19.499547,14
-116.562442,31.68419,12
-99.149109,19.324586,3
-105.505968,23.717429,37
-99.290094,19.314313,6
-96.521425,17.029477,85
-104.752655,24.018122,241
-104.566194,23.914369,191
-105.082941,24.289166,49
-99.190289,19.326269,2
-99.210405,19.499869,7
-98.338108,19.243493,7
-99.161939,19.154686,4
-100.777577,20.897861,5
-104.657543,23.96597,44
-106.935242,28.733816,3
-99.201318,19.292125,20
-99.167962,19.398227,18
-99.2,19.083333,83
-105.518188,23.735386,4
-101.189446,19.757657,20
-96.752815,17.226966,24
-99.274564,19.36998,7
-104.679708,21.274679,163
-96.72123,17.243626,4
-101.25687,21.01645,10
-96.381841,17.603713,55
-115.709681,30.979375,12
-99.171127,19.342852,6
-99.275165,19.370345,6
-101.118894,19.652449,6
-101.612225,19.535048,21
-101.608856,19.515935,4
-99.508693,19.916676,8
-115.939751,30.974298,10
-99.883919,20.519371,23
-99.143039,19.497806,8
-99.174741,19.325134,18
-116.572452,31.848558,10
-99.171867,19.353259,17
-104.490649,24.079793,78
-104.904327,24.084727,11
-103.398958,20.224142,5
-100.858569,22.228269,9
-100.221863,20.267847,4
-98.888454,19.491333,12
-99.301472,19.312882,6
-104.032888,20.647403,4
-107.173262,29.212076,1
-99.310581,19.316062,13
-99.096186,19.3022,24
-99.231572,19.363368,4
-100.261238,20.408943,4
-99.192638,19.314869,42
-99.083118,19.281656,8
-96.402894,16.922142,24
-105.952148,25.861695,17
-101.91309,20.621347,9
-99.142745,19.500611,10
-99.85786,20.49987,10
-104.744598,23.959698,179
-101.002995,19.661906,23
-100.341484,20.533569,2
-100.224136,20.267094,8
-104.041195,20.648049,37
-99.659922,19.307944,5
-99.193764,19.320418,1
-99.1008,19.281332,8
-99.228182,18.773802,6
-103.333411,20.289732,30
-100.233765,20.264376,2
-116.77376,32.03644,4
-99.622355,20.030725,10
-99.194033,19.318409,4
-99.194183,19.468373,10
-99.802455,20.685057,1
-104.037856,20.647102,1
-109.030235,28.341129,10
-109.04,28.332778,2
-99.84757,23.80672,8
-99.70554,23.92381,11
-104.7235,22.55738,24
-95.281566,16.374278,12
-98.992449,19.151168,17
-100.243164,25.292322,4
-103.318348,20.411247,8
-100.112591,20.329791,12
-109.0275,28.2875,2
-109.037778,28.332222,6
-100.250397,25.302776,4
-108.897439,28.377091,14
-100.24283,25.292419,4
-99.019775,19.180193,18
-101.245857,19.63649,1
-100.243805,25.291286,16
-107.150173,27.76613,1
-104.057699,20.651429,1
-102.578659,22.178027,2
-104.764166,22.508117,12
-102.714567,21.738028,1
-96.24756,15.960971,12
-109.04778,28.372586,76
-101.93992,20.614998,5
-104.627266,24.209238,30
-99.147234,19.455225,9
-99.047327,19.284046,24
-99.20517,18.988817,3
-101.31613,20.069229,6
-99.2244,19.7139,14
-99.186373,20.249182,6
-108.559624,28.435068,4
-116.678066,32.547998,3121
-109.035079,28.372862,8
-100.391339,25.221415,14
-102.316875,21.914024,29
-102.266922,19.457317,1
-96.856171,17.105013,9
-102.320196,21.935875,1
-104.748802,22.534201,15
-107.113008,29.259411,53
-99.18515,19.425073,4
-104.105415,29.15516,3
-103.082571,20.332877,7
-109.027222,28.285833,2
-99.101593,19.001563,6
-99.191405,19.311204,6
-101.724899,23.87076,2
-101.245961,19.636462,1
-100.640868,25.375851,15
-100.338478,25.204631,1
-101.449985,19.372369,33
-99.188469,19.423839,18
-99.88323,20.52453,10
-101.251233,20.083444,6
-100.659571,25.115969,15
-98.470024,19.314353,12
-98.185132,19.030622,29
-108.143503,28.459164,27
-99.158382,19.348837,1
-102.596816,22.238548,11
-103.291783,20.724929,56
-101.910521,20.976607,5
-99.138431,19.217337,1
-99.197574,19.292512,85
-101.908362,21.754043,1
-108.169099,29.553411,14
-108.185278,29.329444,61
-107.630621,29.767069,4
-97.184211,19.533773,18
-100.453534,20.622663,18
-108.110275,29.269629,43
-97.18435,19.533745,2
-100.423493,20.567466,30
-108.2256,28.14018,18
-105.804155,23.541957,3
-109.959707,30.935929,2
-99.373966,19.440391,4
-104.499206,24.210676,46
-96.47194,17.26806,11
-99.697602,20.891211,8
-101.93528,20.633429,6
-105.457259,23.738045,6
-108.134924,29.246332,6
-108.206496,29.123187,15
-109.951527,30.954146,2
-107.630439,29.767283,4
-99.799746,20.682774,1
-99.180858,19.319081,6
-100.397444,22.612109,1
-109.96483,30.979804,4
-101.341356,20.107378,5
-99.110563,19.003901,2
-104.320979,23.3426,12
-105.279064,23.852951,120
-99.310461,18.962016,3
-101.176851,21.040287,1
-99.30936,19.06226,46
-99.165822,19.355486,2
-99.101357,19.287165,19
-99.048288,19.270642,5
-100.080206,20.408388,211
-99.616711,19.021539,1
-99.093815,19.30215,93
-101.162624,21.038805,2
-99.320211,18.946555,4
-101.16856,21.030173,1
-101.0919,19.932655,154
-110.807107,28.98753,14
-99.755859,19.807984,11
-99.985156,21.182731,28
-92.416788,16.598832,18
-100.26687,24.90064,3
-115.988159,31.865895,5
-103.452952,19.685748,10
-99.788303,19.826187,5
-99.569693,20.915105,14
-99.623423,20.808434,12
-104.765507,22.497471,17
-104.739722,24.241389,34
-105.379379,23.803474,8
-105.850174,23.564965,27
-99.172157,19.354633,12
-99.200004,19.410735,8
-104.56989,23.935797,33
-101.938922,20.944276,14
-104.825985,20.730494,158
-101.126109,21.189238,3
-97.264253,19.723171,17
-108.144731,29.193297,3
-101.44619,25.66083,79
